PPID,AttentionCheck1.T1,AttentionCheck2.T1,Grit.T1,TOI.T1,AttentionCheck1.T2,AttentionCheck2.T2,Grit.T2,TOI.T2
539,5,1,3.375,3,NA,NA,NA,NA
540,5,1,2.125,4,NA,NA,NA,NA
543,5,1,2.875,5,5,1,2.875,5
546,5,1,3.5,1,5,1,4.125,1
547,5,1,3.875,4,NA,NA,NA,NA
548,5,1,3.125,2,5,1,2.875,4.666666667
549,5,1,2.5,1,5,1,2.75,3
55,5,1,2.625,1,5,1,2.75,1
550,5,1,2.5,5,5,1,3.875,4
552,5,1,3.125,5,NA,NA,NA,NA
56,5,5,4.125,1,NA,NA,NA,NA
57,5,1,2,3,NA,NA,NA,NA
58,5,1,3.375,1,5,1,3.625,2
62,5,1,3.75,2.666666667,5,1,3.125,2
63,5,1,3.5,3.333333333,5,1,3.75,3
64,5,1,2,1,5,1,1.875,1
67,5,1,4,2,5,1,3.75,1.666666667
69,5,1,4.25,1.666666667,NA,NA,NA,NA
71,5,1,2.875,3,5,1,3.125,2
74,5,1,4,3.333333333,NA,NA,NA,NA
75,5,1,4.125,1,NA,NA,NA,NA
77,5,1,4.25,2,5,5,4.25,1
78,5,1,4.5,4,5,1,4.25,4
79,5,1,3.25,3,5,1,3.5,4
80,5,1,3.5,5.333333333,5,1,3.75,4
81,5,1,2.25,4,5,1,2.25,4
83,5,1,3.375,3.333333333,5,1,3.375,4
84,5,1,3.625,1.333333333,5,1,3.5,2
85,5,1,3.875,2,NA,NA,NA,NA
88,5,1,4,2.333333333,5,1,3.875,3
90,5,1,4.125,2.666666667,NA,NA,NA,NA
92,5,1,3.375,5,5,1,3.875,4.666666667
93,5,1,4.375,1,5,1,3.75,2
94,5,1,2,3.333333333,5,1,3.25,4.333333333
95,5,1,2.75,3,5,5,3.375,5
98,5,1,3.75,2,5,5,3.125,2.333333333
99,5,1,2.375,4,5,1,2.25,4
